handle,*special,2-sat,binary search,bitmasks,brute force,chinese remainder theorem,combinatorics,constructive algorithms,data structures,dfs and similar,divide and conquer,dp,dsu,expression parsing,fft,flows,games,geometry,graph matchings,graphs,greedy,hashing,implementation,interactive,math,matrices,meet-in-the-middle,number theory,probabilities,schedules,shortest paths,sortings,string suffix structures,strings,ternary search,trees,two pointers
ano_nymou5,0,0,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,2,0,0,0,0,0,0,4,0,2,0,0,0
arghya003,0,0,1,3,5,0,1,3,1,0,0,2,0,0,0,0,2,1,0,1,11,0,4,0,16,0,0,2,0,0,0,4,0,2,0,0,1
yrjzs,0,0,9,13,33,0,5,38,14,0,0,13,3,0,0,0,9,6,0,1,103,1,34,1,82,0,0,18,0,0,0,26,0,18,0,2,12
Gnanasri005,3,0,1,6,16,0,0,10,3,2,1,7,1,0,0,0,0,1,1,2,21,1,55,0,23,0,0,4,0,0,2,6,0,16,0,2,0
Reciprocal,0,0,3,1,5,0,1,1,3,0,0,1,0,0,0,0,0,1,0,0,11,0,5,0,9,0,0,2,0,0,0,5,0,2,0,0,0
Arafat383,7,3,128,75,310,2,63,295,112,50,6,155,16,1,1,2,46,32,2,43,657,12,481,11,622,4,0,134,9,4,12,218,1,156,6,28,83
imSkandTG,3,0,31,30,83,0,13,330,29,11,1,24,4,0,0,1,21,10,2,17,259,1,128,6,233,1,0,47,2,0,1,60,0,48,1,8,27
kiniroi,0,0,14,10,29,0,8,30,20,9,3,22,5,0,0,0,10,2,1,10,71,1,35,5,48,0,0,13,1,1,3,20,0,11,1,13,4
broken_paint,0,0,8,7,13,0,3,16,10,7,1,19,4,0,0,0,3,1,0,8,51,1,21,3,35,0,0,4,2,0,3,18,0,7,1,9,6
shanks333,0,0,79,45,124,0,29,155,51,4,3,47,6,1,0,1,22,16,1,4,314,3,191,13,300,1,0,75,4,1,3,104,1,59,5,6,55
Safroooot,1,2,147,53,234,0,61,258,143,65,10,183,24,0,1,5,40,21,6,62,517,14,274,14,423,3,0,109,4,3,18,183,2,84,6,37,89
Aritra_,0,0,2,3,3,0,0,5,2,0,0,2,0,0,0,0,1,1,0,0,11,0,5,1,7,0,0,2,0,0,0,6,0,3,0,0,0
elmasrar,0,0,13,9,27,0,5,27,16,5,1,15,3,0,0,0,3,3,0,4,64,2,39,3,49,1,0,11,0,1,4,20,0,16,0,4,12
Manoor08,6,0,57,34,118,0,17,108,53,18,2,68,10,1,0,1,15,12,1,18,263,4,224,2,260,1,0,71,1,1,9,100,1,73,0,14,42
Mogammad,4,1,34,24,97,1,13,104,21,9,1,32,3,0,1,0,20,16,1,9,211,0,148,0,190,0,0,37,2,0,1,59,0,55,1,4,19
puja,4,1,16,17,65,0,5,68,11,5,0,15,2,0,0,0,8,4,2,6,141,2,166,1,141,0,0,30,0,0,3,39,1,40,0,3,10
abhishekshivgan24,0,0,6,10,24,0,5,34,8,2,1,9,0,0,0,0,6,7,0,0,75,0,32,1,71,0,0,19,2,1,1,20,0,16,0,1,6
heiyuZ,0,0,13,10,34,0,1,11,19,4,2,13,3,0,0,0,4,1,0,1,56,0,60,0,38,0,0,8,0,0,0,26,0,12,0,2,8
Chirag_Gupta5,1,0,44,22,95,1,8,102,45,13,1,43,9,0,0,0,24,16,2,15,243,3,101,3,177,1,0,35,2,0,1,77,1,37,2,4,30
